Fichiers avec écart important (|diff| > 3)
============================================================
Data_PA001​_FO1.csv: détectés=13, réels=9, diff=+4
Data_PA001​_TUG2.csv: détectés=56, réels=9, diff=+47
Data_PA002 ​_F8W1_2.csv: détectés=13, réels=9, diff=+4
Data_PA002 ​_F8W2.csv: détectés=14, réels=10, diff=+4
Data_PA002 ​_F8W2_2.csv: détectés=14, réels=9, diff=+5
Data_PA002 ​_F8W2_3.csv: détectés=13, réels=9, diff=+4
Data_PA002 ​_FO1_3.csv: détectés=15, réels=11, diff=+4
Data_PA002 ​_FO2.csv: détectés=17, réels=11, diff=+6
Data_PA002 ​_FO2_2.csv: détectés=17, réels=11, diff=+6
Data_PA002 ​_FO2_3.csv: détectés=15, réels=10, diff=+5
Data_PA002 ​_Marche2.csv: détectés=14, réels=10, diff=+4
Data_PA002 ​_Marche2_2.csv: détectés=15, réels=10, diff=+5
Data_PA002 ​_Marche_3.csv: détectés=14, réels=9, diff=+5
Data_PA002 ​_TUG2.csv: détectés=16, réels=10, diff=+6
Data_PA002 ​_TUG2_2.csv: détectés=54, réels=10, diff=+44
Data_PA002 ​_TUG2_3.csv: détectés=14, réels=10, diff=+4
Data_pa003​_F8W1.csv: détectés=3, réels=13, diff=-10
Data_pa003​_F8W1_3.csv: détectés=9, réels=13, diff=-4
Data_pa003​_F8W2.csv: détectés=19, réels=14, diff=+5
Data_pa003​_FO2.csv: détectés=22, réels=12, diff=+10
Data_pa003​_FO2_3.csv: détectés=15, réels=11, diff=+4
Data_pa003​_Marche2_2.csv: détectés=15, réels=11, diff=+4
Data_pa003​_Marche2_3.csv: détectés=15, réels=11, diff=+4
Data_pa006​_F8W1_3.csv: détectés=9, réels=13, diff=-4
Data_pa006​_F8W2_2.csv: détectés=9, réels=17, diff=-8
Data_pa006​_F8W2_3.csv: détectés=11, réels=15, diff=-4
Data_pa006​_Marche.csv: détectés=15, réels=10, diff=+5
Data_pa006​_TUG1.csv: détectés=6, réels=12, diff=-6
Data_pa006​_TUG1_2.csv: détectés=7, réels=12, diff=-5
Data_pa006​_TUG1_3.csv: détectés=7, réels=12, diff=-5
Data_pa006​_TUG2_3.csv: détectés=8, réels=12, diff=-4
Data_pa007​_F8W1_2.csv: détectés=15, réels=11, diff=+4
Data_pa007​_Marche2.csv: détectés=16, réels=11, diff=+5
Data_pa007​_Marche2_2.csv: détectés=15, réels=11, diff=+4
Data_pa007​_TUG2_2.csv: détectés=16, réels=11, diff=+5
Data_pa008​_F8W1.csv: détectés=12, réels=18, diff=-6
Data_pa008​_F8W1_3.csv: détectés=12, réels=16, diff=-4
Data_pa008​_FO1_3.csv: détectés=3, réels=11, diff=-8
Data_pa009​_F8W1.csv: détectés=15, réels=11, diff=+4
Data_pa009​_F8W1_2.csv: détectés=20, réels=10, diff=+10
Data_pa009​_F8W2.csv: détectés=17, réels=13, diff=+4
Data_pa009​_TUG1.csv: détectés=5, réels=10, diff=-5
Data_pa009​_TUG1_3.csv: détectés=4, réels=9, diff=-5
Data_pa009​_TUG2.csv: détectés=19, réels=12, diff=+7
Data_pa009​_TUG2_2.csv: détectés=23, réels=10, diff=+13
Data_pa009​_TUG2_3.csv: détectés=22, réels=10, diff=+12
Data_pa010​_F8W1.csv: détectés=21, réels=8, diff=+13
Data_pa010​_F8W1_2.csv: détectés=20, réels=9, diff=+11
Data_pa010​_F8W1_3.csv: détectés=22, réels=9, diff=+13
Data_pa010​_F8W2.csv: détectés=23, réels=9, diff=+14
Data_pa010​_F8W2_2.csv: détectés=18, réels=9, diff=+9
Data_pa010​_F8W2_3.csv: détectés=20, réels=9, diff=+11
Data_pa010​_FO1_2.csv: détectés=24, réels=9, diff=+15
Data_pa010​_FO2.csv: détectés=13, réels=9, diff=+4
Data_pa010​_Marche.csv: détectés=2, réels=9, diff=-7
Data_pa010​_Marche2.csv: détectés=14, réels=9, diff=+5
Data_pa010​_Marche2_2.csv: détectés=23, réels=9, diff=+14
Data_pa010​_Marche2_3.csv: détectés=14, réels=9, diff=+5
Data_pa010​_Marche_3.csv: détectés=13, réels=9, diff=+4
Data_pa010​_TUG1_2.csv: détectés=4, réels=9, diff=-5
Data_pa010​_TUG2.csv: détectés=21, réels=10, diff=+11
Data_pa010​_TUG2_2.csv: détectés=25, réels=9, diff=+16
Data_pa010​_TUG2_3.csv: détectés=26, réels=10, diff=+16
Data_pa012​_F8W1.csv: détectés=18, réels=11, diff=+7
Data_pa012​_F8W1_2.csv: détectés=18, réels=11, diff=+7
Data_pa012​_F8W1_3.csv: détectés=35, réels=11, diff=+24
Data_pa012​_F8W2.csv: détectés=25, réels=10, diff=+15
Data_pa012​_F8W2_2.csv: détectés=24, réels=10, diff=+14
Data_pa012​_F8W2_3.csv: détectés=28, réels=10, diff=+18
Data_pa012​_FO1.csv: détectés=31, réels=10, diff=+21
Data_pa012​_FO1_2.csv: détectés=18, réels=10, diff=+8
Data_pa012​_FO1_3.csv: détectés=18, réels=10, diff=+8
Data_pa012​_FO2.csv: détectés=23, réels=9, diff=+14
Data_pa012​_FO2_2.csv: détectés=13, réels=8, diff=+5
Data_pa012​_FO2_3.csv: détectés=18, réels=9, diff=+9
Data_pa012​_Marche.csv: détectés=1, réels=9, diff=-8
Data_pa012​_Marche2.csv: détectés=21, réels=9, diff=+12
Data_pa012​_Marche2_2.csv: détectés=25, réels=9, diff=+16
Data_pa012​_Marche2_3.csv: détectés=24, réels=8, diff=+16
Data_pa012​_Marche_3.csv: détectés=18, réels=8, diff=+10
Data_pa012​_TUG1.csv: détectés=16, réels=11, diff=+5
Data_pa012​_TUG1_2.csv: détectés=18, réels=9, diff=+9
Data_pa012​_TUG1_3.csv: détectés=15, réels=9, diff=+6
Data_pa012​_TUG2.csv: détectés=26, réels=9, diff=+17
Data_pa012​_TUG2_2.csv: détectés=28, réels=9, diff=+19
Data_pa012​_TUG2_3.csv: détectés=34, réels=9, diff=+25
Data_pa013​_F8W2_2.csv: détectés=15, réels=10, diff=+5
Data_pa013​_FO1_2.csv: détectés=20, réels=11, diff=+9
Data_pa014​_TUG2_2.csv: détectés=15, réels=11, diff=+4
Data_pa015​_F8W2.csv: détectés=16, réels=11, diff=+5
Data_pa015​_F8W2_2.csv: détectés=18, réels=11, diff=+7
Data_pa015​_F8W2_3.csv: détectés=19, réels=11, diff=+8
Data_pa015​_FO1.csv: détectés=16, réels=10, diff=+6
Data_pa015​_FO2.csv: détectés=16, réels=11, diff=+5
Data_pa015​_FO2_2.csv: détectés=15, réels=10, diff=+5
Data_pa015​_FO2_3.csv: détectés=15, réels=10, diff=+5
Data_pa015​_Marche.csv: détectés=13, réels=9, diff=+4
Data_pa015​_Marche2.csv: détectés=17, réels=10, diff=+7
Data_pa015​_Marche2_2.csv: détectés=15, réels=10, diff=+5
Data_pa015​_Marche2_3.csv: détectés=15, réels=10, diff=+5
Data_pa015​_Marche_2.csv: détectés=13, réels=9, diff=+4
Data_pa015​_Marche_3.csv: détectés=13, réels=9, diff=+4
Data_pa015​_TUG2.csv: détectés=15, réels=10, diff=+5
Data_pa015​_TUG2_2.csv: détectés=17, réels=10, diff=+7
Data_pa015​_TUG2_3.csv: détectés=16, réels=10, diff=+6
Data_pa016​_F8W1.csv: détectés=43, réels=13, diff=+30
Data_pa016​_F8W1_3.csv: détectés=15, réels=11, diff=+4
Data_pa016​_F8W2_2.csv: détectés=18, réels=12, diff=+6
Data_pa016​_F8W2_3.csv: détectés=15, réels=11, diff=+4
Data_pa016​_Marche.csv: détectés=18, réels=10, diff=+8
Data_pa016​_Marche2.csv: détectés=17, réels=11, diff=+6
Data_pa017​_FO2_2.csv: détectés=15, réels=11, diff=+4
Data_pa017​_TUG1_3.csv: détectés=3, réels=9, diff=-6
Data_PA018​_F8W1.csv: détectés=15, réels=9, diff=+6
Data_PA018​_F8W1_2.csv: détectés=16, réels=10, diff=+6
Data_PA018​_F8W1_3.csv: détectés=17, réels=10, diff=+7
Data_PA018​_F8W2.csv: détectés=21, réels=9, diff=+12
Data_PA018​_F8W2_2.csv: détectés=21, réels=10, diff=+11
Data_PA018​_F8W2_3.csv: détectés=19, réels=10, diff=+9
Data_PA018​_FO1.csv: détectés=14, réels=10, diff=+4
Data_PA018​_FO1_2.csv: détectés=15, réels=10, diff=+5
Data_PA018​_Marche.csv: détectés=28, réels=10, diff=+18
Data_PA018​_TUG2_2.csv: détectés=15, réels=10, diff=+5
Data_PA019​_F8W1.csv: détectés=16, réels=11, diff=+5
Data_PA019​_F8W2.csv: détectés=18, réels=12, diff=+6
Data_PA019​_F8W2_2.csv: détectés=17, réels=13, diff=+4
Data_PA019​_F8W2_3.csv: détectés=21, réels=12, diff=+9
Data_PA019​_FO1.csv: détectés=16, réels=11, diff=+5
Data_PA019​_FO1_2.csv: détectés=15, réels=11, diff=+4
Data_PA019​_FO2.csv: détectés=17, réels=11, diff=+6
Data_PA019​_FO2_2.csv: détectés=22, réels=11, diff=+11
Data_PA019​_FO2_3.csv: détectés=19, réels=11, diff=+8
Data_PA019​_Marche.csv: détectés=15, réels=11, diff=+4
Data_PA019​_Marche2.csv: détectés=19, réels=11, diff=+8
Data_PA019​_Marche2_2.csv: détectés=17, réels=11, diff=+6
Data_PA019​_Marche2_3.csv: détectés=19, réels=11, diff=+8
Data_PA019​_Marche_3.csv: détectés=14, réels=10, diff=+4
Data_PA019​_TUG1.csv: détectés=21, réels=11, diff=+10
Data_PA019​_TUG1_2.csv: détectés=15, réels=11, diff=+4
Data_PA019​_TUG2.csv: détectés=19, réels=11, diff=+8
Data_PA019​_TUG2_2.csv: détectés=23, réels=11, diff=+12
Data_PA019​_TUG2_3.csv: détectés=27, réels=11, diff=+16
Data_pa021​_F8W1.csv: détectés=9, réels=13, diff=-4
Data_pa021​_F8W1_2.csv: détectés=9, réels=13, diff=-4
Data_pa021​_Marche2.csv: détectés=10, réels=14, diff=-4
Data_pa022​_F8W1.csv: détectés=18, réels=12, diff=+6
Data_pa022​_F8W2_3.csv: détectés=15, réels=11, diff=+4
Data_pa022​_TUG1_2.csv: détectés=6, réels=11, diff=-5
Data_pa022​_TUG1_3.csv: détectés=7, réels=11, diff=-4
Data_pa022​_TUG2.csv: détectés=16, réels=11, diff=+5
Data_pa023​_F8W1_2.csv: détectés=13, réels=18, diff=-5
Data_pa023​_F8W1_3.csv: détectés=10, réels=17, diff=-7
Data_pa023​_F8W2.csv: détectés=14, réels=19, diff=-5
Data_pa023​_F8W2_2.csv: détectés=13, réels=19, diff=-6
Data_pa023​_F8W2_3.csv: détectés=12, réels=19, diff=-7
Data_pa024​_F8W1.csv: détectés=21, réels=10, diff=+11
Data_pa024​_F8W1_2.csv: détectés=14, réels=10, diff=+4
Data_pa024​_F8W2.csv: détectés=20, réels=11, diff=+9
Data_pa024​_F8W2_2.csv: détectés=19, réels=12, diff=+7
Data_pa024​_F8W2_3.csv: détectés=16, réels=12, diff=+4
Data_pa024​_FO1.csv: détectés=14, réels=9, diff=+5
Data_pa024​_FO1_2.csv: détectés=16, réels=8, diff=+8
Data_pa024​_FO2.csv: détectés=20, réels=9, diff=+11
Data_pa024​_FO2_2.csv: détectés=15, réels=9, diff=+6
Data_pa024​_FO2_3.csv: détectés=19, réels=9, diff=+10
Data_pa024​_Marche.csv: détectés=24, réels=9, diff=+15
Data_pa024​_Marche2.csv: détectés=16, réels=9, diff=+7
Data_pa024​_Marche2_2.csv: détectés=48, réels=9, diff=+39
Data_pa024​_Marche2_3.csv: détectés=50, réels=9, diff=+41
Data_pa024​_Marche_2.csv: détectés=27, réels=8, diff=+19
Data_pa024​_TUG1.csv: détectés=14, réels=10, diff=+4
Data_pa024​_TUG2.csv: détectés=18, réels=10, diff=+8
